Vibrio natriegens
Vibrio brasiliensis
Marinomonas gallaica
Marinomonas aquimarina
Marinomonas fungiae
Marinomonas communis
Oceanisphaera psychrotolerans
Zobellella denitrificans
Zobellella taiwanensis
Zobellela maritima
Endozoicomonas ascidiicola
Endozoicomonas atrinae
Pantoea dispersa
Mangrovibacter plantisponsor
Enterobacter himalayensis
Salmonella enterica
Serratia nematodiphila
Hafnia paralvei
Gallaecimonas xiamenensis
Gallaecimonas pentaromativorans
Endozoicomonas elysicola
Endozoicomonas montiporae
Pseudomonas pachastrellae
Pseudomonas pelagia
Marinobacterium litorale 
Marinobacterium lutimaris
Pseudomonas marincola
Pseudomonas taeanensis
Aeromonas dhakensis
Pseudomonas alcaliphila
Pseudomonas stutzeri
Pseudomonas aeruginosa
Pseudomonas mandelii
Pseudomonas prosekii
Pseudomonas veronii
Pseudomonas brenneri
Pseudomonas weihenstephanensis
Pseudomonas koreensis
Bowmanella denitrificans
Lacimicrobium alkaliphilum
Zooshikella ganghwensis
Balneatrix sp003194385
Terasakiispira papahanaumokuakeensis
Aeromonas jandaei
Aeromonas allosaccharophila
Aeromonas caviae
Aeromonas molluscorum
Pseudomonas zhaodongensis
Pseudomonas luteola
Shewanella algidipiscicola
Shewanella marisflavi
Shewanella benthica
Shewanella baltica
Shewanella frigidimarina
Shewanella denitrificans
Shewanella algae
Shewanella woodyi
Shewanella halifaxensis
Shewanella amazonensis
Enterovibrio pacificus
Grimontia indica
Enterovibrio calviensis
Enterovibrio norvegicus 
Marinobacter flavimaris
Halomonas alkaliantarctica
Halomonas hydrothermalis
Halomonas zhanjiangensis
Pseudomonas oceani
Pseudomonas aestusnigri
Pseudomonas fulva
Pseudomonas putida
Octadecabacter arcticus
Ruegeria atlantica
Amylibacter sp900197625
Anderseniella sp900149695
Kiloniella laminariae
Pseudomonas monteilii
Pseudomonas plecoglossicida
Oceanicoccus sagamiensis
Leisingera caerulea
Leisingera aquaemixtae
Roseovarius azorensis
Pseudoruegeria lutimaris
Roseospirillum parvum
Pseudomonas deceptionensis
Hydrogenophaga crassostreae
Azoarcus toluclasticus 
Azoarcus communis
Achromobacter pulmonis
Paraburkholderia fungorum
Shewanella pealeana
Shewanella sediminis
Janthinobacterium sp002127585
Bordetella pertussis
Alcaligenes aquatilis
