potF
C3,c1b,c1a,c2b,c2a,incertae
0.0000,0.8871,0.0000,0.0000,0.0000,0.0000
0.0000,4.7778,0.0000,0.0000,0.0000,0.0000
>>n_SAR116 cluster
0.0000,0.5268,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s_Pelagibacteraceae bacterium
0.0000,0.0000,117.2098,0.0000,0.0000,0.0000
0.0000,0.0000,4.0635,0.0000,0.0000,0.0000
0.0000,0.0000,0.3090,0.0000,0.0000,0.0000
>>s_Pseudooceanicola atlanticus
0.0000,1.1079,0.0000,0.0000,0.0000,0.0000
0.0000,1.1405,0.0000,0.0000,0.0000,0.0000
0.0000,4.6241,0.0000,0.0000,0.0000,0.0000
>>g_Nisaea
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.8479,0.0000,0.0000,0.0000
0.0000,0.0000,2.8613,0.0000,0.0000,0.0000
>>g_Mesorhizobium
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.9785,0.0000,0.0000,0.0000
>>k_Bacteria
0.0000,0.4040,0.0000,0.0000,0.0000,0.0000
9.5439,0.0000,0.0000,0.0000,0.8071,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>s_Candidatus Poribacteria bacterium
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.8696,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
>>g_Pseudomonas
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.8513,0.0000,0.0000
0.0000,0.0000,0.0000,1.5004,0.0000,0.0000
>>s_Thalassococcus halodurans
0.0000,0.9860,0.0000,0.0000,0.0000,0.0000
0.0000,0.1930,0.0000,0.0000,0.0000,0.0000
0.0000,2.0059,0.0000,0.0000,0.0000,0.0000
>>g_Devosia
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.1970,0.0000,0.0000,0.0000
0.0000,0.0000,1.7914,0.0000,0.0000,0.0000
>>s_Thiotrichales bacterium
0.0000,0.0000,0.3240,0.0000,0.0000,0.0000
0.0000,0.0000,2.0566,0.0000,0.0000,0.0000
0.0000,0.0000,0.3820,0.0000,0.0000,0.0000
>>g_Stappia
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.3790,0.0000,0.0000,0.0000
>>n_unclassified Ketobacter
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,3.6718,0.0000,0.0000,0.0000
