Taxon	Context	Cluster	k-value
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Halobacteria	0.0
s__Marinicella sediminis	Epipelagic	Cl_Halobacteria	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Halobacteria	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Halobacteria	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Halobacteria	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Halobacteria	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Halobacteria	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Halobacteria	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Halobacteria	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Halobacteria	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Halobacteria	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Halobacteria	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Halobacteria	0.0
o__Methylococcales	Epipelagic	Cl_Mainly-Gamma	0.0
o__Methylococcales	Bathypelagic	Cl_Mainly-Gamma	0.0
o__Methylococcales	Mesopelagic	Cl_Mainly-Gamma	0.0
Unspecified	Epipelagic	Cl_Mainly-Gamma	0.0
Unspecified	Bathypelagic	Cl_Mainly-Gamma	0.0
Unspecified	Mesopelagic	Cl_Mainly-Gamma	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Mainly-Gamma	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Mainly-Gamma	126.65
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Mainly-Gamma	1.188
s__	Epipelagic	Cl_Mainly-Gamma	0.0
s__	Bathypelagic	Cl_Mainly-Gamma	45.792
s__	Mesopelagic	Cl_Mainly-Gamma	0.244
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Mainly-Gamma	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Mainly-Gamma	0.244
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Mainly-Gamma	0.0
g__Marinobacter	Epipelagic	Cl_Mainly-Gamma	0.0
g__Marinobacter	Bathypelagic	Cl_Mainly-Gamma	1.03
g__Marinobacter	Mesopelagic	Cl_Mainly-Gamma	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Mainly-Gamma	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Mainly-Gamma	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Mainly-Gamma	4.029
o__Pseudomonadales	Epipelagic	Cl_Mainly-Gamma	0.0
o__Pseudomonadales	Bathypelagic	Cl_Mainly-Gamma	0.0
o__Pseudomonadales	Mesopelagic	Cl_Mainly-Gamma	4.632
s__Labrenzia aggregata	Epipelagic	Cl_Mainly-Gamma	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Mainly-Gamma	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Mainly-Gamma	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Mainly-Gamma	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Mainly-Gamma	17.365
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Mainly-Gamma	1.612
s__Marinicella sediminis	Epipelagic	Cl_Mainly-Gamma	0.878
s__Marinicella sediminis	Bathypelagic	Cl_Mainly-Gamma	9.785
s__Marinicella sediminis	Mesopelagic	Cl_Mainly-Gamma	0.9019999999999999
s__Marinobacter segnicrescens	Epipelagic	Cl_Mainly-Gamma	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Mainly-Gamma	0.227
s__Marinobacter segnicrescens	Mesopelagic	Cl_Mainly-Gamma	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Mainly-Gamma	0.0
