Taxon	Context	Cluster	Abundance	Diversity	Univocity	k-value
s__Marinicella sediminis	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Halobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Halobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Halobacteria	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
Unspecified	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Mainly-Gamma	12.665000000000001	10	1.0	12.665000000000001
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Mainly-Gamma	0.594	2	1.0	0.594
s__	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Mainly-Gamma	7.632	6	1.0	7.632
s__	Mesopelagic	Cl_Mainly-Gamma	0.244	1	1.0	0.244
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Mainly-Gamma	0.244	1	1.0	0.244
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Mainly-Gamma	1.03	1	1.0	1.03
g__Marinobacter	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Mainly-Gamma	1.343	3	1.0	1.343
o__Pseudomonadales	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Mainly-Gamma	2.316	2	1.0	2.316
s__Labrenzia aggregata	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Mainly-Gamma	3.473	5	1.0	3.473
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Mainly-Gamma	0.806	2	1.0	0.806
s__Marinicella sediminis	Epipelagic	Cl_Mainly-Gamma	0.878	1	1.0	0.878
s__Marinicella sediminis	Bathypelagic	Cl_Mainly-Gamma	1.9569999999999999	5	1.0	1.9569999999999999
s__Marinicella sediminis	Mesopelagic	Cl_Mainly-Gamma	0.45099999999999996	2	1.0	0.45099999999999996
s__Marinobacter segnicrescens	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Mainly-Gamma	0.227	1	1.0	0.227
s__Marinobacter segnicrescens	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Mainly-Gamma	1.179	2	1.0	1.179
c__Gammaproteobacteria	Epipelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Mainly-Gamma	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
Unspecified	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Dehalococcoidales	2.551	1	1.0	2.551
s__	Mesopelagic	Cl_Dehalococcoidales	0.59	1	1.0	0.59
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Dehalococcoidales	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Alphaproteobacteria	0.218	1	1.0	0.218
Unspecified	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Alphaproteobacteria	0.233	1	1.0	0.233
s__	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Alphaproteobacteria	0.434	2	1.0	0.434
s__Labrenzia aggregata	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Alphaproteobacteria	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
Unspecified	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Planctomycetota	1.8569999999999998	3	1.0	1.8569999999999998
s__	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__	Mesopelagic	Cl_Planctomycetota	19.085	5	1.0	19.085
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__Marinobacter segnicrescens	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
s__GCA-002726655 sp002725995	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
c__Gammaproteobacteria	Epipelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
c__Gammaproteobacteria	Bathypelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
c__Gammaproteobacteria	Mesopelagic	Cl_Planctomycetota	0.0	0	1.0	0.0
o__Methylococcales	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
o__Methylococcales	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
o__Methylococcales	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
Unspecified	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
Unspecified	Bathypelagic	Cl_Alpha-Gamma_2	0.5409999999999999	2	1.0	0.5409999999999999
Unspecified	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinobacter hydrocarbonoclasticus	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Pseudomonas_A stutzeri_AB	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
g__Marinobacter	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
g__Marinobacter	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
g__Marinobacter	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__UBA7803 sp002480525	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
o__Pseudomonadales	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
o__Pseudomonadales	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
o__Pseudomonadales	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Labrenzia aggregata	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Labrenzia aggregata	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Labrenzia aggregata	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Thiobacillus denitrificans_E	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinicella sediminis	Epipelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinicella sediminis	Bathypelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
s__Marinicella sediminis	Mesopelagic	Cl_Alpha-Gamma_2	0.0	0	1.0	0.0
